iBuOH(1)           2   301.624     5.906     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 548.341K Pc=  44.326bar Vc= 272.500cm3/mol Tb= 382.660K	(CsHR3, CsH2R2, CsH3R, CsH3R, Alcohol)
O2(2)              1   107.400     3.458     0.000     1.600     3.800 ! Primary Transport Library: GRIMech3.0 (Species ID: O2)	
C4H9O3(3)          2   244.446     6.480     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 661.532K Pc=  51.981bar Vc= 303.500cm3/mol Tb= 496.820K	(CsHR3, CsHR3, CsH3R, CsH3R, Ether, Alcohol, Alcohol)
C4H9O3(4)          2   251.686     6.432     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 661.703K Pc=  52.207bar Vc= 304.500cm3/mol Tb= 494.470K	(CsR4, CsH2R2, CsH3R, CsH3R, Ether, Alcohol, Alcohol)
C4H9O3(5)          2   237.047     6.532     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 658.879K Pc=  51.387bar Vc= 309.500cm3/mol Tb= 497.260K	(CsHR3, CsH2R2, CsH2R2, CsH3R, Ether, Alcohol, Alcohol)
C4H10O3(6)         2   248.563     6.556     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 661.532K Pc=  49.663bar Vc= 303.500cm3/mol Tb= 496.820K	(CsH3R, CsHR3, CsH3R, CsHR3, Ether, Alcohol, Alcohol)
C4H10O3(7)         2   255.837     6.508     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 661.703K Pc=  49.874bar Vc= 304.500cm3/mol Tb= 494.470K	(CsH3R, CsR4, Ether, Alcohol, CsH3R, CsH2R2, Alcohol)
C4H10O3(8)         2   241.110     6.608     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 658.879K Pc=  49.108bar Vc= 309.500cm3/mol Tb= 497.260K	(CsH3R, CsHR3, CsH2R2, Ether, Alcohol, CsH2R2, Alcohol)
C4H9O2(9)          2   251.400     6.271     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 639.255K Pc=  53.279bar Vc= 285.500cm3/mol Tb= 474.400K	(CsHR3, CsHR3, CsH3R, CsH3R, Alcohol, Alcohol)
C4H9O2(10)         2   258.846     6.225     0.000     0.000     1.000 ! LJ parameters estimated by RMG: Tc= 639.525K Pc=  53.513bar Vc= 286.500cm3/mol Tb= 472.050K	(CsR4, CsH2R2, CsH3R, CsH3R, Alcohol, Alcohol)
